loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,prediksi
1,30.944,96.936,53328043.722619146,1491332889.725414,2.2240737879767537e+18,-0.3826468900867184,-0.2462604779444692,2.2240737879767537e+18,0.3442714315141479,1.391555142839683,0,0,0,0,0,-53328043.72261912,1491332889.725414,2.2240737879767537e+18,0.3826468900867184,-0.2462604779444692,2.2240737879767537e+18,0.3442714315141479,1.391555142839683,0,0,0,0,0,kanan
2,96.94,97.936,-190595339.6162512,1695681172.8378506,2.8753346399167483e+18,-0.813003479078492,0.3964243412250576,2.8753346399167483e+18,0.3015380592238996,1.3267832461575533,0,0,0,0,0,190595339.6162512,1695681172.8378506,2.8753346399167483e+18,0.8130034790784919,0.3964243412250563,2.8753346399167483e+18,0.3015380592238996,1.3267832461575528,0,0,0,0,0,kanan
2,97.94,98.936,99437546.3835497,1363118377.503192,1.8580917110869348e+18,-0.7270782665814053,0.485143872278948,1.8580917110869348e+18,0.3122549828697185,1.3102610370586163,0,0,0,0,0,-99437546.3835497,1363118377.503192,1.8580917110869348e+18,0.727078266581405,0.485143872278948,1.8580917110869348e+18,0.3122549828697185,1.3102610370586163,0,0,0,0,0,kanan
2,98.94,99.936,83277466.31637023,1562169675.644996,2.440374095504792e+18,-0.5190219044433141,-0.1102704916480319,2.440374095504792e+18,0.3064810267194718,1.2931471337830605,0,0,0,0,0,-83277466.31637023,1562169675.644996,2.440374095504792e+18,0.5190219044433142,-0.1102704916480323,2.440374095504792e+18,0.3064810267194718,1.2931471337830602,0,0,0,0,0,kanan
2,99.94,100.936,-52427628.175886594,1511947564.4996812,2.285985437796518e+18,-1.089617133947816,2.2502710480895463,2.285985437796518e+18,0.2875103731829211,1.4519530431173917,0,0,0,0,0,52427628.17588656,1511947564.4996812,2.285985437796518e+18,1.0896171339478162,2.2502710480895454,2.285985437796518e+18,0.2875103731829211,1.4519530431173917,0,0,0,0,0,kanan
2,100.94,101.936,24471089.207528383,1358690139.1655889,1.846038894265807e+18,-0.6755464908651535,-0.0230880539007731,1.846038894265807e+18,0.3530300637736132,1.146941806104948,0,0,0,0,0,-24471089.2075284,1358690139.1655886,1.8460388942658068e+18,0.6755464908651536,-0.0230880539007731,1.8460388942658068e+18,0.3530300637736132,1.146941806104948,0,0,0,0,0,kanan
2,101.94,102.936,5936290.9550270615,1326265508.10313,1.758980197984054e+18,-0.802665038892809,2.079276925767231,1.758980197984054e+18,0.3266420615041092,1.294494438060934,0,0,0,0,0,-5936290.95502706,1326265508.1031303,1.7589801979840543e+18,0.802665038892809,2.079276925767229,1.7589801979840543e+18,0.3266420615041092,1.294494438060934,0,0,0,0,0,kanan
2,102.94,168.932,-407417.4058923645,1212814390.8701577,1.470918746701751e+18,-0.4380967070045821,-0.3723170203193837,1.470918746701751e+18,0.3643053369720483,1.8107701428214853,0,0,0,0,0,407417.4058923645,1212814390.8701572,1.4709187467017508e+18,0.438096707004582,-0.3723170203193833,1.4709187467017508e+18,0.3643053369720484,1.810770142821485,0,0,0,0,0,kanan
3,168.936,169.932,96061678.69418588,1182804480.3021214,1.3990264386227717e+18,-0.0862909232169617,-0.7174206360420059,1.3990264386227717e+18,0.3612047931703427,1.237226799192703,0,0,0,0,0,-96061678.69418588,1182804480.3021214,1.3990264386227717e+18,0.0862909232169616,-0.7174206360420072,1.3990264386227717e+18,0.3612047931703427,1.237226799192703,0,0,0,0,0,kanan
3,169.936,170.932,-60020912.73432503,1794824590.2643468,3.2213953098175805e+18,-0.4759950533937184,-0.1920274460584266,3.2213953098175805e+18,0.3456253410098807,1.2198904570574878,0,0,0,0,0,60020912.73432505,1794824590.2643468,3.2213953098175805e+18,0.4759950533937184,-0.1920274460584266,3.2213953098175805e+18,0.3456253410098808,1.2198904570574876,0,0,0,0,0,kanan
