EXG0,EXG1,subject,loop,time
2059963331.1138551,-2059963331.1138551,syarif,5,292.608
1123550058.9205801,-1123550058.92058,syarif,5,292.612
83425436.1615336,-83425436.1615336,syarif,5,292.616
-867387570.6792998,867387570.6792998,syarif,5,292.62
-1569351252.5139403,1569351252.51394,syarif,5,292.624
-1925838305.2064805,1925838305.2064803,syarif,5,292.628
-1915619254.3974571,1915619254.3974576,syarif,5,292.632
-1595031357.698948,1595031357.6989484,syarif,5,292.636
-1072024340.0703039,1072024340.0703044,syarif,5,292.64
-481411011.4815495,481411011.4815495,syarif,5,292.644
39265588.16747466,-39265588.16747467,syarif,5,292.648
379387869.24377465,-379387869.24377465,syarif,5,292.652
473994877.03021526,-473994877.03021526,syarif,5,292.656
321697460.1971607,-321697460.1971607,syarif,5,292.66
-21872506.653225422,21872506.65322566,syarif,5,292.664
-455335818.49858963,455335818.4985895,syarif,5,292.668
-849975983.2793803,849975983.2793803,syarif,5,292.672
-1075816162.9869213,1075816162.9869213,syarif,5,292.676
-1033893395.1835287,1033893395.1835285,syarif,5,292.68
-668927030.8159137,668927030.8159138,syarif,5,292.684
5203290.933303833,-5203290.933303833,syarif,5,292.688
904229409.3008773,-904229409.3008773,syarif,5,292.692
1886496214.9702835,-1886496214.9702833,syarif,5,292.696
2773504330.744238,-2773504330.7442384,syarif,5,292.7
3385525636.9814663,-3385525636.981466,syarif,5,292.704
3577712229.3782268,-3577712229.378227,syarif,5,292.708
3272220162.0355253,-3272220162.035525,syarif,5,292.712
2477264064.450262,-2477264064.4502616,syarif,5,292.716
1298940211.7461865,-1298940211.7461863,syarif,5,292.72
-80083881.35064991,80083881.3506499,syarif,5,292.724
-1435051141.0310616,1435051141.0310616,syarif,5,292.728
-2541353334.3201766,2541353334.320176,syarif,5,292.732
-3217944249.2472835,3217944249.2472835,syarif,5,292.736
-3367536945.6251802,3367536945.6251807,syarif,5,292.74
-2993224443.9694095,2993224443.9694095,syarif,5,292.744
-2196027080.5697136,2196027080.5697136,syarif,5,292.748
-1146859912.9839063,1146859912.9839063,syarif,5,292.752
-56834139.73376727,56834139.73376727,syarif,5,292.756
884091714.8180399,-884091714.8180399,syarif,5,292.76
1540055904.6930017,-1540055904.693002,syarif,5,292.764
1855049810.512911,-1855049810.5129113,syarif,5,292.768
1857381047.2738776,-1857381047.2738776,syarif,5,292.772
1644562200.4222898,-1644562200.4222894,syarif,5,292.776
1349334133.3160028,-1349334133.316003,syarif,5,292.78
1100963838.510131,-1100963838.5101304,syarif,5,292.784
981040962.0235205,-981040962.02352,syarif,5,292.788
1017851944.441803,-1017851944.441803,syarif,5,292.792
1164522905.530439,-1164522905.530439,syarif,5,292.796
1323385723.129621,-1323385723.129621,syarif,5,292.8
1366110790.9071934,-1366110790.9071932,syarif,5,292.804
1188201453.9690478,-1188201453.9690478,syarif,5,292.808
732219217.1989031,-732219217.1989032,syarif,5,292.812
1870876.4270237684,-1870876.4270237684,syarif,5,292.816
-932143467.4273207,932143467.4273207,syarif,5,292.82
-1937796298.2895398,1937796298.2895396,syarif,5,292.824
-2860182605.4067464,2860182605.406747,syarif,5,292.828
-3559123310.7240524,3559123310.724052,syarif,5,292.832
-3922607547.4082046,3922607547.408205,syarif,5,292.836
-3904967722.634045,3904967722.6340456,syarif,5,292.84
-3527152159.468993,3527152159.468993,syarif,5,292.844
-2871008221.3252373,2871008221.325237,syarif,5,292.848
-2062110775.9369786,2062110775.9369786,syarif,5,292.852
-1239290249.1042962,1239290249.1042962,syarif,5,292.856
-527889660.6948389,527889660.6948389,syarif,5,292.86
