subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,label
usamah,1,40.96,41.956,20461829.83573085,2322259867.242367,5.392890891004535e+18,-0.5223917923209601,0.7462767193712403,5.392890891004535e+18,0.282803051776514,1.3678213698884392,4.0064299628956595e+17,2.0202353828757152e+17,2.2412254245353728e+17,1.3157829434927371e+17,59227807433.51014,-20461829.83573083,2322259867.242367,5.392890891004535e+18,0.5223917923209601,0.7462767193712403,5.392890891004535e+18,0.28280305177651405,1.367821369888439,4.0064299628956595e+17,2.0202353828757152e+17,2.2412254245353728e+17,1.3157829434927371e+17,59227807433.510544,kiri
usamah,1,41.96,42.956,84198893.99233112,2246745414.391454,5.047864957089027e+18,1.3599410797761033,3.0196618604478145,5.047864957089027e+18,0.3187347359452059,1.3675261811850496,3.162587465327324e+17,3.9454328509884736e+17,3.286248610717353e+17,1.632874031560826e+17,83188543306.92906,-84198893.99233112,2246745414.391454,5.047864957089027e+18,-1.3599410797761036,3.0196618604478145,5.047864957089027e+18,0.3187347359452059,1.3675261811850496,3.162587465327324e+17,3.9454328509884736e+17,3.286248610717353e+17,1.6328740315608256e+17,83188543306.92484,kiri
usamah,1,42.96,108.952,59386752.29937097,1933292372.943475,3.7376193992814126e+18,0.3292179249727309,0.07011919497468266,3.7376193992814126e+18,0.34739435404157964,1.9923458115282142,1.4842870639962234e+17,1.560673284256729e+17,5.711327468028727e+16,4.8079856459111384e+16,553981093978.9691,-59386752.299370974,1933292372.943475,3.7376193992814126e+18,-0.3292179249727308,0.07011919497468266,3.7376193992814126e+18,0.34739435404157964,1.9923458115282138,1.4842870639962234e+17,1.560673284256729e+17,5.711327468028727e+16,4.8079856459111384e+16,553981093978.9739,kiri
usamah,2,108.956,109.952,100126443.63797076,2049182467.1470094,4.199148783662704e+18,0.3702860083473682,0.6129669594638512,4.199148783662704e+18,0.3559592384207786,1.2508463794254334,6.796067611862352e+16,3.450018883556913e+17,1.2529842316239355e+17,1.3236926039392067e+17,72905321727.40738,-100126443.63797075,2049182467.1470091,4.1991487836627036e+18,-0.37028600834736825,0.612966959463852,4.1991487836627036e+18,0.35595923842077865,1.2508463794254332,6.796067611862351e+16,3.4500188835569126e+17,1.2529842316239355e+17,1.3236926039392067e+17,72905321727.40756,kiri
usamah,2,109.956,110.952,-155925394.80519173,1753073235.7415202,3.073265769873243e+18,0.00833205930362957,0.21440593303799504,3.073265769873243e+18,0.35613906912092946,1.1953410696532683,7.849655848770085e+16,8.504974105092573e+16,1.7072686168876525e+17,1.232885020359659e+17,103765181651.52866,155925394.80519173,1753073235.7415202,3.073265769873243e+18,-0.008332059303629583,0.21440593303799504,3.073265769873243e+18,0.35613906912092946,1.1953410696532683,7.849655848770085e+16,8.504974105092574e+16,1.7072686168876525e+17,1.232885020359659e+17,103765181651.5196,kiri
usamah,2,110.956,111.952,326152349.456604,2125948452.1740508,4.5196568213012424e+18,0.6772530957479616,0.06831112746585832,4.5196568213012424e+18,0.362170136698278,1.1790100907687835,1.545418631064921e+17,1.259551214217699e+17,2.979457849394302e+17,1.0402631259784669e+17,55340924057.35425,-326152349.456604,2125948452.1740508,4.5196568213012424e+18,-0.6772530957479616,0.06831112746585832,4.5196568213012424e+18,0.3621701366982781,1.1790100907687833,1.545418631064921e+17,1.259551214217699e+17,2.9794578493943014e+17,1.0402631259784669e+17,55340924057.355255,kiri
usamah,2,111.956,112.952,-41673651.05906213,1887100538.6338665,3.5611484429122294e+18,0.30565247491525593,0.4478668795871079,3.5611484429122294e+18,0.3109092376049626,1.2732974587564947,1.891387436467263e+17,1.4526484167302954e+16,2.971814227110606e+17,1.4400962917555542e+17,40418808522.53538,41673651.05906213,1887100538.6338665,3.5611484429122294e+18,-0.30565247491525577,0.4478668795871066,3.5611484429122294e+18,0.3109092376049626,1.2732974587564947,1.891387436467263e+17,1.452648416730295e+16,2.971814227110606e+17,1.4400962917555542e+17,40418808522.53024,kiri
usamah,2,112.956,113.952,-194025583.08511055,1912480283.6957805,3.6575808355250934e+18,0.7162635354796175,1.266677344956328,3.6575808355250934e+18,0.29727714291683466,1.2376999553105397,8.154922300134058e+16,2.531778552088619e+17,4.138865681031616e+17,1.6723113568029885e+17,77474141534.39342,194025583.08511052,1912480283.6957805,3.657580835525093e+18,-0.7162635354796179,1.2666773449563289,3.657580835525093e+18,0.2972771429168347,1.2376999553105394,8.15492230013406e+16,2.531778552088619e+17,4.1388656810316166e+17,1.672311356802988e+17,77474141534.3919,kiri
usamah,2,113.956,114.952,152933237.6973478,2125705484.7382212,4.518623807846156e+18,0.13966629225828855,0.10722043865779751,4.518623807846156e+18,0.2911998109614545,1.4050911431527489,3.047888223318336e+17,2.3807647328530336e+17,3.283988646663172e+17,3.628176038883677e+16,39984884018.03428,-152933237.6973478,2125705484.7382212,4.518623807846156e+18,-0.13966629225828855,0.10722043865779751,4.518623807846156e+18,0.2911998109614545,1.405091143152749,3.047888223318336e+17,2.380764732853034e+17,3.283988646663172e+17,3.628176038883676e+16,39984884018.03429,kiri
usamah,2,114.956,180.948,81849470.89629209,2220828613.6610703,4.932079731255752e+18,-0.10216892250931843,0.33976731270925287,4.932079731255752e+18,0.3558796733655796,1.6560499242218851,1.5873040598387955e+17,1.4211542910413829e+17,2.0418761585712227e+17,1.566502533886315e+17,765561994686.7434,-81849470.89629216,2220828613.6610703,4.932079731255753e+18,0.1021689225093183,0.33976731270925065,4.932079731255753e+18,0.3558796733655796,1.656049924221885,1.5873040598387955e+17,1.4211542910413824e+17,2.0418761585712224e+17,1.5665025338863152e+17,765561994686.7394,kiri
usamah,3,180.952,181.948,-159385036.93346137,1938634050.5917363,3.758301982113723e+18,0.31964447716083505,0.12546740025442782,3.758301982113723e+18,0.32652121274179263,1.281971242955071,8.856754681350467e+16,1.3173834581092266e+17,6.259679980040436e+17,7.633758264895483e+16,66958276133.0879,159385036.93346137,1938634050.5917363,3.758301982113723e+18,-0.31964447716083505,0.12546740025442782,3.758301982113723e+18,0.32652121274179263,1.281971242955071,8.856754681350466e+16,1.3173834581092267e+17,6.259679980040436e+17,7.633758264895483e+16,66958276133.08491,kiri
usamah,3,181.952,182.948,63807920.6509801,1889134385.1266727,3.568828725067932e+18,0.6033627489138262,0.9301491268800737,3.568828725067932e+18,0.2812282299617284,1.505844004081014,3.707746723420698e+17,3.057999142653685e+17,2.2746375646842336e+17,6.6344615183889e+16,42888324389.106,-63807920.65098007,1889134385.1266727,3.5688287250679316e+18,-0.6033627489138261,0.930149126880075,3.5688287250679316e+18,0.28122822996172847,1.5058440040810135,3.707746723420698e+17,3.0579991426536845e+17,2.2746375646842336e+17,6.6344615183889e+16,42888324389.10811,kiri
usamah,3,182.952,183.948,-61970088.77684082,1702874160.9500165,2.899780408031223e+18,0.3254037344968014,0.36824991015495856,2.899780408031223e+18,0.35686313096283917,1.2578129287637196,1.3848036595071272e+17,4.837329641196133e+16,4.908176563673655e+16,5.638130947811631e+16,30010051244.30717,61970088.77684079,1702874160.9500167,2.899780408031224e+18,-0.3254037344968011,0.36824991015495634,2.899780408031224e+18,0.35686313096283906,1.2578129287637199,1.3848036595071272e+17,4.837329641196133e+16,4.908176563673655e+16,5.638130947811631e+16,30010051244.309853,kiri
usamah,3,183.952,184.948,18844504.63747802,1787736417.7876909,3.1960014994843653e+18,-0.23909640209676902,0.004147455504559527,3.1960014994843653e+18,0.29954734688449813,1.464166858798214,4.038074298516346e+17,1.916711905058956e+17,1.356888858833056e+17,5.4570563708274136e+16,80170556413.99869,-18844504.637477983,1787736417.7876909,3.1960014994843653e+18,0.23909640209676894,0.0041474555045599715,3.1960014994843653e+18,0.2995473468844982,1.4641668587982135,4.038074298516347e+17,1.9167119050589574e+17,1.3568888588330563e+17,5.457056370827415e+16,80170556413.99858,kiri
usamah,3,184.952,185.948,53184477.57952858,1862379858.914895,3.468458738891864e+18,-0.18765889223940888,-0.02324776301917586,3.468458738891864e+18,0.35441164775983947,1.1956402629058163,9.711937579211749e+16,6.8845404610171624e+16,5.5013505354276776e+16,1.424466196267296e+17,43064520187.91031,-53184477.579528585,1862379858.914895,3.468458738891864e+18,0.18765889223940882,-0.02324776301917586,3.468458738891864e+18,0.35441164775983947,1.1956402629058163,9.711937579211749e+16,6.884540461017163e+16,5.501350535427677e+16,1.4244661962672963e+17,43064520187.909836,kiri
usamah,3,185.952,186.948,-183300914.89474446,1742066094.2162347,3.034794276617807e+18,0.557867295023247,-0.08707533298463632,3.034794276617807e+18,0.3434682409838503,1.2201222126719917,6281482839783002.0,4.595010672115172e+16,2.0208990455930662e+17,9.09653775050876e+16,56954214513.618935,183300914.89474446,1742066094.2162347,3.034794276617807e+18,-0.557867295023247,-0.08707533298463632,3.034794276617807e+18,0.3434682409838503,1.220122212671992,6281482839783002.0,4.595010672115172e+16,2.0208990455930662e+17,9.09653775050876e+16,56954214513.62312,kiri
usamah,3,186.952,252.944,96384662.19427842,1897411029.2096848,3.600168613766555e+18,-0.08427453002500485,-0.33708701753927706,3.600168613766555e+18,0.34038743809428534,2.2320067792780462,2.0622119505952966e+17,8.587833699921736e+16,1.1690517337243602e+17,1.1342959741303182e+17,2162835350483.462,-96384662.19427839,1897411029.2096846,3.6001686137665546e+18,0.08427453002500492,-0.3370870175392766,3.6001686137665546e+18,0.34038743809428534,2.2320067792780462,2.062211950595297e+17,8.587833699921736e+16,1.1690517337243602e+17,1.134295974130318e+17,2162835350483.4624,kiri
